frmAudioEngine.frmAudioEngine	Audio Engine	音频引擎
frmInput.chkVideoCallAdvanced	Show Advanced Options	显示高级选项
frmInput.chkVideoCallSTUN	Allow only direct peer to peer connections	仅允许直接对等连接
frmInput.lnkVCLowLatency	More Information	更多信息
frmInput.chkVideoCallDebugLog	Enable Debug Logging	启用调试日志记录
frmInput.chkVideoCallLowLatency	Low Latency Mode	低延迟模式
frmInput.cmdVideoCallCopyLink	Copy Link	复制链接
frmInput.lblVideoCallName	Name	名称
frmInput.lblReturnVideoSource	Video Source	视频源
frmInput.cmdVideoCallCopy	Copy	复制
frmInput.lblReturnAudio	Audio Source	音源
frmInput.cmdVideoCallConnect	Connect to Call	连接到呼叫
frmInput.cmdVideoCallHost	Host a Call	主机呼叫
frmInput.cmdVideoCallGenerateKey	Reset Password	重设密码
frmInput.lblReturnBandwidth	Video Bandwidth{newline}	视频带宽
frmInput.lblReturnVideo	Return Feed (To Guest)	返回饲料（客串）
frmInput.lblKey	Password	密码
frmInput.lblInputNumber	Number	数
frmInput.cmdCancel	Cancel	取消
frmInput.cmdStressTest	Stress Test	压力测试
frmInput.cmdSignalGenerator	Signal Generator	信号发生器
frmInput.tMenu.Video	Video	视频
frmInput.tMenu.DVD	DVD	DVD
frmInput.tMenu.List	List	表
frmInput.tMenu.Camera	Camera	相机
frmInput.tMenu.NDI / Desktop Capture	NDI / Desktop Capture	NDI /桌面捕捉
frmInput.tMenu.Stream / SRT	Stream / SRT	流/ SRT
frmInput.tMenu.Instant Replay	Instant Replay	即时回放
frmInput.tMenu.Image Sequence / Stinger	Image Sequence / Stinger	图像序列/毒刺
frmInput.tMenu.Video Delay	Video Delay	视频延迟
frmInput.tMenu.Image	Image	图像
frmInput.tMenu.Photos	Photos	照片
frmInput.tMenu.PowerPoint	PowerPoint	PowerPoint中
frmInput.tMenu.Colour	Colour	颜色
frmInput.tMenu.Audio	Audio	音频
frmInput.tMenu.Audio Input	Audio Input	音频输入
frmInput.tMenu.Title / XAML	Title / XAML	标题/ XAML
frmInput.tMenu.Virtual Set	Virtual Set	虚拟集
frmInput.tMenu.Web Browser	Web Browser	网页浏览器
frmInput.tMenu.Video Call	Video Call	视频电话
frmInputSettings.frmInputSettings	Input Settings	输入设置
frmInputSettings.cmdExportMultiView	Export	出口
frmInputSettings.cmdImportMultiView	Import	进口
frmInputSettings.cmdRemoveMultiView	Remove	消除
frmInputSettings.cmdAddMultiView	Add	补充
frmInputSettings.lblRadius	Radius:	半径：
frmInputSettings.lblThickness	Thickness:	厚度：
frmInputSettings.lblColour	Colour:	颜色：
frmInputSettings.chkEnableBorder	Border	边界
frmInputSettings.cmdResetRotate	Reset	重置
frmInputSettings.cmdResetZoomY	Reset	复位
frmInputSettings.cmdResetZoomX	Reset	复位
frmInputSettings.lblZoomY	Zoom Y:	缩放Y：
frmInputSettings.lblRotateZ	Rotate:	旋转：
frmInputSettings.lblZoomX	Zoom X:	放大X：
frmInputSettings.cmdResetPanY	Reset	复位
frmInputSettings.cmdResetPanX	Reset	复位
frmInputSettings.cmdResetZoom	Reset	复位
frmInputSettings.lblPanY	Pan Y:	潘Y：
frmInputSettings.lblPanX	Pan X:	X先生：
frmInputSettings.lblZoom	Zoom:	放大：
frmInputSettings.chkEnableCrop	Cropping	裁剪
frmInputSettings.lblCropX1	Crop X1:	作物X1：
frmInputSettings.lblCropY1	Crop Y1:	作物Y1：
frmInputSettings.lblCropX2	Crop X2:	作物X2：
frmInputSettings.lblCropY2	Crop Y2:	作物Y2：
frmInputSettings.cmdResetPosition	Reset All	全部重置
frmInputSettings.lblTriggerMix	Mix	混合
frmInputSettings.cmdDeleteTrigger	Delete	删除
frmInputSettings.cmdEditTrigger	Edit	编辑
frmInputSettings.cmdAddTrigger	Add	加
frmInputSettings.chkPTZInputThumbnail	Always show thumbnail in input preview	始终在输入预览中显示缩略图
frmInputSettings.lblPTZSupport	PTZ (Pan Tilt Zoom) camera control is available in the 4K and Pro editions of vMix. Visit www.vmix.com for more information,	PTZ（云台变焦）摄像机控制在4K和vMix的专业版中提供使用。访问www.vmix.com了解更多信息，
frmInputSettings.chkTally	Tally	相符
frmInputSettings.chkFocus	Focus	焦点
frmInputSettings.lblZoom	Zoom	飞涨
frmInputSettings.lblPositionSpeed	Position Speed	位置速度
frmInputSettings.lblPTSpeed	Speed	速度
frmInputSettings.cmdPTZConnect	Connect	接
frmInputSettings.lblConnectionName	URL	网址
frmInputSettings.lblPTZProvider	Device Type	设备类型
frmInputSettings.lblInfoDeinterlacing	Deinterlacing	去隔行
frmInputSettings.lblClickAction	Mouse Click Action	鼠标单击操作
frmInputSettings.cmdChange	Change	变化
frmInputSettings.lblSource	Blank	空白
frmInputSettings.lblCategory	Category	类别
frmInputSettings.cmdAudioSettings	Audio Settings	音频设置
frmInputSettings.cmdCreateVirtualInput	Create Virtual Input	创建虚拟输入
frmInputSettings.chkMirror	Mirror	镜子
frmInputSettings.lblName	Name	名
frmInputSettings.chkPlayActive	Automatically Play with Transition	自动播放与转型
frmInputSettings.lblAspectRatio	Aspect Ratio	长宽比
frmInputSettings.chkPausePreview	Automatically Pause after Transition	自动暂停后过渡
frmInputSettings.chkRestart	Automatically Restart with Transition	自动重新启动与过渡
frmInputSettings.chkDeinterlace	Deinterlace Blend	隔行扫描混合
frmInputSettings.chkAutoMixAudio	Automatically mix audio	自动混合音频
frmInputSettings.chkSharpen	Sharpen	锐化
frmInputSettings.lblInfoResolution	Resolution	决议
frmInputSettings.lblInfoSourceAspectRatio	Source Aspect Ratio	来源长宽比
frmInputSettings.lblInfoFrameRate	Frame Rate	帧速率
frmInputSettings.cbSat	Sat	星期六
frmInputSettings.cbHue	Hue	色调
frmInputSettings.cmdCCAuto	Basic Auto Correct	基本自动校正
frmInputSettings.cmdCCPresets	Presets	预置
frmInputSettings.cwGain	Gain	获得
frmInputSettings.cmdColorWheelsDisplay	Display: Colour Wheels	显示：彩色轮子
frmInputSettings.cwLift	Lift	电梯
frmInputSettings.cwGamma	Gamma	伽玛
frmInputSettings.chkRec601Fix	Rec. 601 to 709	建议601至709
frmInputSettings.lblBlue	Blue	蓝色
frmInputSettings.chkPremultipliedAlpha	Premultiplied Alpha	预乘Alpha
frmInputSettings.lblGreen	Green	绿色
frmInputSettings.lblSaturation	Saturation	饱和
frmInputSettings.lblRed	Red	红色
frmInputSettings.lblAlpha	Alpha	阿尔法
frmInputSettings.cmdAuto	Auto	汽车
frmInputSettings.cmdAutoWhiteBalance	Auto White Balance	自动白平衡
frmInputSettings.cmdReset	Reset	复位
frmInputSettings.lblWhiteStretch	White Stretch	白色加长
frmInputSettings.lblBlackStretch	Black Stretch	黑色弹力
frmInputSettings.chkColorCorrectionSource	Use Source Settings	使用源设置
frmInputSettings.cmdClose	Close	关闭
frmInputSettings.cmdApply	Apply	申请
frmInputSettings.lblFilters	Filters	过滤器
frmInputSettings.lblDelayFrames	frames	帧
frmInputSettings.lblDelay	Delay	延迟
frmInputSettings.cmdProperties	Properties	属性
frmInputSettings.lblOtherTallyInfo	For information on other Tally Light options, see the Tally Lights tab in Settings	有关其他提示灯选项的信息，请参阅设置中的提示灯标签
frmInputSettings.lblOtherTally	Other Tally Lights	其他理货灯
frmInputSettings.lblArduino	Arduino Tally Lights	Arduino的理货灯
frmInputSettings.lblTallyStatusLabel	Status	状态
frmInputSettings.lblComPort	COM Port	COM端口
frmInputSettings.lblTallyNumber	Tally Number	理货号码
frmInputSettings.chkColorKey	Colour Key	彩色钥匙
frmInputSettings.Label1	Auto Chroma Key Presets	自动色度键预设
frmInputSettings.chkAntiAliasing	Anti Aliasing	反锯齿
frmInputSettings.chkGreenFilter	Chroma Key Filter	色度键过滤器
frmInputSettings.cmdResetTolerance	Reset	复位
frmInputSettings.lblChromaKey	Chroma Key	色度键
frmInputSettings.lblRedKey	Red	红色
frmInputSettings.lblBlueKey	Blue	蓝色
frmInputSettings.lblGreenKey	Green	绿色
frmInputSettings.lblLumaKey	Luma Key	咬关键
frmInputSettings.lblKeyFill	Key/Fill Input	键/填充输入
frmInputSettings.cmdCopy	Copy From...	复制自......
frmInputSettings.tMenu.General	General	一般
frmInputSettings.tMenu.Colour Adjust	Colour Adjust	「颜色调整」
frmInputSettings.tMenu.Colour Key	Colour Key	彩色钥匙
frmInputSettings.tMenu.Colour Correction	Colour Correction	色彩校正
frmInputSettings.tMenu.Position	Position	位置
frmInputSettings.tMenu.Layers / Multi View	Layers / Multi View	图层/多视图
frmInputSettings.tMenu.Triggers	Triggers	触发器
frmInputSettings.tMenu.Tally Lights	Tally Lights	理货灯
frmInputSettings.tMenu.PTZ	PTZ	云台
frmInputSettings.tMenu.Advanced	Advanced	先进
frmOverlay.frmOverlay	Overlay Settings	叠加设置
frmOverlay.chkDisplayUnderneath	Display underneath Overlays	在重叠式广告下显示
frmOverlay.rFrames	Frames	帧
frmOverlay.rMilliseconds	Milliseconds	毫秒
frmOverlay.rFrames	Frames	帧
frmOverlay.rMilliseconds	Milliseconds	毫秒
frmOverlay.lblStingerInput	Stinger Input:	毒刺输入：
frmOverlay.lblStingerMilliseconds	(0 to disable)	（0代表停用）
frmOverlay.lblStingerCut	Stinger Cut Point:	毒刺切点：
frmOverlay.lblAlpha	Alpha:	阿尔法：
frmOverlay.cmdCancel	Cancel	取消
frmOverlay.lblMilliseconds2	(0 to disable)	（0代表停用）
frmOverlay.lblOverlayDuration	Duration:	时间：
frmOverlay.lblMilliseconds	Milliseconds	毫秒
frmOverlay.lblDuration	Effect Duration:	效果持续时间：
frmOverlay.lblOverlayEffect	Effect:	效果：
frmOverlay.lblOverlayNumber	Number:	编号：
frmOverlay.lblDragTip	To adjust position, drag the red box or hold down shift to resize	若要调整位置，拖动红色框或按住shift键来调整
frmOverlay.lblRadius	Radius:	半径：
frmOverlay.lblThickness	Thickness:	厚度：
frmOverlay.lblColour	Colour:	颜色：
frmOverlay.lblBorder	Border	边境
frmOverlay.cmdResetRotate	Reset	重置
frmOverlay.cmdResetZoomY	Reset	重置
frmOverlay.cmdResetZoomX	Reset	重置
frmOverlay.lblZoomY	Zoom Y:	变焦Ÿ：
frmOverlay.lblRotateZ	Rotate:	旋转：
frmOverlay.lblZoomX	Zoom X:	变焦X：
frmOverlay.cmdResetPanY	Reset	重置
frmOverlay.cmdResetPanX	Reset	重置
frmOverlay.cmdResetZoom	Reset	重置
frmOverlay.lblPanY	Pan Y:	潘Ÿ：
frmOverlay.lblPanX	Pan X:	潘贤章：
frmOverlay.lblZoom	Zoom:	变焦：
frmOverlay.lblPIPLocation	Picture In Picture Location	图片在图片位置
frmOverlay.lblOverlayType	Type:	类型：
frmPlaylist.frmPlaylist	PlayList	播放列表
frmPlaylist.chkManual	Manual Mode	手动模式
frmPlaylist.chkClearOverlay	Clear Overlays	清除覆盖
frmPlaylist.cmdPrevious	Previous	前
frmPlaylist.chkBeginSelected	Begin from selected item	从选择项目开始
frmPlaylist.cmdNext	Next	未来
frmPlaylist.chkLoop	Loop	环路
frmPlaylist.lblAvailableInputs	Available Inputs	可用的输入
frmPlaylist.lblPlayList	Playlist	播放
frmPlaylist.cmdCreatePlayList	New PlayList	新的播放列表
frmPlaylist.cmdDeletePlayList	Delete PlayList	删除播放列表
frmPlaylist.cmdClose	Close	关闭
frmPlaylist.cmdStartStop	Start	开始
frmPlayListItem.frmPlayListItem	PlayList	播放列表
frmPlayListItem.lblDisplayType	Display Type:	显示类型：
frmPlayListItem.lblVideo	Video:	视频：
frmPlayListItem.lblStartingPosition	Starting Position:	起始位置：
frmPlayListItem.lblTransitionDuration	Transition Duration (in Milliseconds):	过渡的持续时间（以毫秒为单位）：
frmPlayListItem.lblTransition	Transition:	过渡：
frmPlayListItem.Cancel_Button	Cancel	取消
frmPlayListItem.lblDuration	Duration:	时间：
frmPlayListSave.frmPlayListSave	Create PlayList	创建播放列表
frmPlayListSave.chkCopy	Copy Current PlayList	复制当前播放列表
frmPlayListSave.lblSavePlaylist	Select a name for the new PlayList. Each PlayList will be added to the open Preset	选择的新的播放列表的名称。每个播放列表将被添加到打开预置
frmPlayListSave.cmdCancel	Cancel	取消
frmRecordingInfo.frmRecordingInfo	Recording Information	记录信息
frmRecordingInfo.lblSize	Size:	大小：
frmRecordingInfo.gBuffer	Buffer	缓冲区
frmRecordingInfo.lblRead	Read:	阅读：
frmRecordingInfo.lblWrite	Write:	写：
frmRecordingInfo.gDroppedFrames	Dropped Frames	丢帧
frmRecordingInfo.lblTotalThisSession	Total This Session:	总此会话：
frmRecordingInfo.lblHardDiskCpu	Due To Hard Disk/CPU:	由于硬盘/ CPU：
frmRecordingInfo.lblSourceFrameRate	Due To Source Frame Rate:	由于源帧率：
frmRecordingInfo.lblTotalThisRecording	Total This Recording:	共有这段录音：
frmRecordingInfo.lblAudioDevice	Audio Device:	音频设备：
frmRecordingInfo.lblSystem	System:	系统：
frmRecordingInfo.lblCodec	Codec:	编解码器：
frmRecordingInfo.lblDuration	Duration:	时间：
frmRecordingInfo.lblFilename	Filename:	文件名：
frmRecordingInfo.cmdClose	Close	关闭
frmRecordingSetup.frmRecordingSetup	Recording Setup	录制设置
frmRecordingSetup.lblVMXQuality	Quality:	质量：
frmRecordingSetup.lblKbps	Kbps	Kbps的
frmRecordingSetup.lblAudioBitRate	Audio Bit Rate:	音频比特率：
frmRecordingSetup.lblMinutes	Minutes	会议纪要
frmRecordingSetup.lblRestart	New File Every:	新的文件，每隔：
frmRecordingSetup.lblSize	Size:	大小：
frmRecordingSetup.cmdBrowse	Browse	浏览
frmRecordingSetup.lblFilename	Filename:	文件名：
frmRecordingSetup.lblSystem	Frame Rate:	帧速率：
frmRecordingSetup.lblCodec	Codec:	编解码器：
frmRecordingSetup.lblMilliseconds	Milliseconds	毫秒
frmRecordingSetup.lblAudioDelay	Audio Delay:	音频延迟：
frmRecordingSetup.lblAudio	Audio:	音频：
frmRecordingSetup.chkFragmented	Fault Tolerant	容错
frmRecordingSetup.lblMp4Format	Profile:	简介：
frmRecordingSetup.chkHardwareAcceleration	Use Hardware Encoder	使用硬件编码器
frmRecordingSetup.cmdCancel	Cancel	取消
frmRecordingSetup.lblMbps	Mbps	Mbps的
frmRecordingSetup.lblMPEGBitRate	Bit Rate:	比特率：
frmRecordingSetup.lblFileFormat	File Format:	文件格式：
frmRecordingSetup.lblMpegFileFormat	TS (Transport Stream) is recommended for Editing.	TS（传输流）建议进行编辑。
frmRecordingSetup.lblHttpPort	HTTP Port:	HTTP端口：
frmRecordingSetup.lblAudioCodec	Audio Codec:	音频编解​​码器：
frmRecordingSetup.lblWMVCodec	Codec:	编解码器：
frmRecordingSetup.lblQuality	Quality:	质量：
frmRecordingSetup.lblFPS	FPS:	FPS：
frmRecordingSetup.lblBitRate	Bit Rate:	比特率：
frmRecordingSetup.lblFFMPEGABitrate	Audio Quality:	音频质量：
frmRecordingSetup.lblFFMPEGVBitrate	Video Quality:	视频质量：
frmRecordingSetup.lblFFMPEGExt	Format:	格式：
frmRecordingSetup.lblFFMPEGFormat	Codec:	编解码器：
frmRecordingSetup.cmdAudioRecording	WAV File Record	WAV文件记录
frmRecordingSetup.tMenu.AVI	AVI	的AVI
frmRecordingSetup.tMenu.MPEG-2	MPEG-2	的MPEG-2
frmRecordingSetup.tMenu.WMV	WMV	对WMV
frmRecordingSetup.tMenu.WMV Streaming	WMV Streaming	WMV流媒体
frmRecordingSetup.tMenu.FFMPEG	FFMPEG	FFMPEG
frmRecordingSetup.tMenu.vMix AVI	vMix AVI	vMix AVI
frmRecordingSetup.chkEnabled	Enabled	启用
frmRegistration.frmRegistration	vMix Registration	vMix注册
frmRegistration.lnkBasic	Visit https://register.vmix.com/ to register for the FREE Basic Edition	访问https://register.vmix.com/注册免费的基本版
frmRegistration.cmdCancel	Cancel	取消
frmRegistration.lblInternetAccess	Internet access required to complete Registration	互联网接入要求完成注册
frmRegistration.lblRegistration	Registration	注册
frmRegistration.lblEmailAddressB	Email Address	电邮地址
frmRegistration.rTrial	Register for a fully functional 60 Day Trial	注册一个全功能的60天试用
frmRegistration.lnkvMix	Visit http://www.vmix.com/ to purchase a Registration Key	访问http://www.vmix.com/购买注册码
frmRegistration.lblEmailAddressA	Email Address	电邮地址
frmRegistration.lblKey	Key	重点
frmRegistration.rFree	Register for the FREE Basic Edition	注册为免费的基本版
frmRegistration.rKey	I have a Registration Key	我有一个注册码
frmSettings.frmSettings	Settings	设置
frmSettings.lblAudioDrop	Audio Gap Handling:	音频间隙处理：
frmSettings.chkAudioMixerFollowsCategories	Hide Audio Mixers based on selected Category	隐藏基于选定类别的混音器
frmSettings.chkNotificationSounds	Enable Notification Sounds (for Video Call messages etc)	启用通知声音（用于视频通话消息等）
frmSettings.cmdTestVoice	Test	测试
frmSettings.lblVoiceShortcuts	Voice Shortcuts	语音快捷方式
frmSettings.chkVoice	Enabled	启用
frmSettings.lblVoiceAudio	Audio Source:	音频来源：
frmSettings.lblVoiceConfidence	Confidence:	置信度：
frmSettings.lblAudioSource	Recording Audio:	录制音频：
frmSettings.lblAudioSourceDescription	The selected Audio Device will be used for Recording, Streaming and External Output	选定的音频设备，将用于录制，流媒体和外部输出
frmSettings.lblAudioSourceFormat	Format:	格式：
frmSettings.lblMasterBitRate	Master Bit Rate:	主比特率：
frmSettings.lblSamplingRate	Master Sample Rate:	主采样率：
frmSettings.lblAudioDelayMilliseconds	milliseconds	毫秒
frmSettings.lblDefaultAudioDelay	Default Input Audio Delay:	默认输入音频延迟：
frmSettings.chkFTBAudio	Fade To Black includes Audio	淡入淡出的包括音频
frmSettings.chkInputAudioMeter	Show Audio Meter next to Inputs	显示音频指示器旁边的输入
frmSettings.chkAutoAudioMixing	Automatically Mix Audio	自动混合音频
frmSettings.chkMasterAudioMeter	Show Master Audio Meter in Main Window	在主窗口显示主音频仪表
